Ship pt,Product Hierarchy,Part Number,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Algorithm,RMSE,MAPE,Parameters
ZTRD,2 B X C,10057022,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.05,nan,[]
ZTRD,2 B X E,10057034,3.08,9.95,16.15,1.76,2.13,6.45,4.35,14.54,16.08,0,6.85,7.12,AR,7.26,inf,[]
ZTRD,2 B X F,10057083,6.68,7.76,9.69,4.53,9.14,1.34,5.38,9.35,0.93,6.91,2.73,1.29,AR,4.02,inf,[]
ZTRD,2 B Y C,10076001,2.44,0,0.38,4.23,0,0,2.43,0,0.67,0.5,0,0.05,AR,1.63,nan,[]
ZTRD,2 C A A,10100340,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 C A E,10100426,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,AR,3.61,inf,[]
ZTRD,2 D A C,10100779,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 D A E,10102317,0.75,0.47,0,0.09,0.2,0.06,0,0,0,0.67,0,0,AR,1.47,inf,[]
ZTRD,2 D A F,10102400,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.08,nan,[]
ZTRD,2 D B E,10102401,0,0.17,0.13,0.08,0.35,0.13,0.08,0.12,0.01,0.01,0,0,AR,0.63,nan,[]
ZTRD,2 D B F,10103101,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 D C C,10104021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 D C E,10104022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 D D E,10104023,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.18,nan,[]
ZTRD,2 D D F,10104028,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 D X C,10105011,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.1,nan,[]
ZTRD,2 D X E,10105012,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 D X F,10112050,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 X X C,10113011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 X X E,10113025,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 X X F,10115000,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.03,nan,[]
ZTRD,2 Y A C,10118019,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 Y A E,10118420,235.35,0,120.28,45.92,9.6,0.39,4.96,0,0,0,540.42,0,AR,28.84,nan,[]
ZTRD,2 Y A F,10118421,3.27,1.3,0.32,0,0,0,0.3,0.58,1.51,1.68,0.66,1.73,AR,1.77,inf,[]
ZTRD,2 Y Y C,10118422,0,0,0.04,0.08,0.05,0,0.15,1.98,0,0.06,0.17,0,AR,0.71,nan,[]
ZTRD,2 Y Y E,10118423,0,0,0,0,0.81,0,0,0,0,0,0.8,0,AR,0.87,nan,[]
ZTRD,3 A C C,10118563,2.83,1.73,0,1.65,0,0,9.84,1.63,2.24,0,0.54,0,AR,4.77,nan,[]
ZTRD,3 A C F,10122290,0.05,0.06,0.73,0.1,0.1,0.88,0.1,0.08,0.37,0.03,-0.0,0,AR,0.46,nan,[]
ZTRD,3 A D B,10122355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 A D C,10122361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 A D E,10124010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 A D F,10124011,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 A G B,10124164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 A G C,10124409,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.3,inf,[]
ZTRD,3 A G E,10125003,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 A G F,10125011,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.0,nan,[]
ZTRD,3 A K E,10125110,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,AR,0.3,inf,[]
ZTRD,3 A K F,10125164,0,1.23,1.1,0.07,0.66,0.03,0.92,0,0.23,1.01,0.1,1.43,AR,0.61,nan,[]
ZTRD,3 A L E,10126102,0.17,0.06,0.05,0,0,0.17,0.18,0.03,0.07,-0.0,0,0,AR,0.26,nan,[]
