ZTRD,2 A P B,10031750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
ZTRD,2 A P C,10034324,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
ZTRD,2 A P E,10036602,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 A P F,10037311,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 A X C,10037371,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
ZTRD,2 A X E,10040006,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 A X F,10040211,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 A Y E,10054011,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
ZTRD,2 B A E,10054017,,,1,,,1,6,1,,,,,,,,1,,,,,,,,,1,1,,3,,,,,,,,2,,1,,,,,,,,,,,50,,,2,1,,,,,1,1,,
ZTRD,2 B A F,10054018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
ZTRD,2 B B C,10054019,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 B B E,10054020,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
ZTRD,2 B B F,10054027,,,,,,,,3,3,1,1,,1,,2,1,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
ZTRD,2 B C C,10054034,,4,4,,,,,,,2,,,9,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,3,,,,,1,,,,,,,,,,,,
ZTRD,2 B C E,10054036,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 B C F,10054045,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
ZTRD,2 B D B,10054046,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 B D E,10055002,,2,,2,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,1,,,1,,
ZTRD,2 B D F,10055006,,,3,,,,1,,1,,,,,,,2,,,,,,,,1,,,6,,,,,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,1,,2
ZTRD,2 B E C,10055026,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,
ZTRD,2 B E E,10057002,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 B X C,10057022,3,6,,,,4,,1,2,2,1,,,2,3,,,,,2,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 B X E,10057034,20,12,9,9,6,11,13,9,9,8,4,8,14,3,9,7,10,3,10,4,6,17,5,1,4,9,5,8,2,11,14,5,10,3,3,8,3,7,,17,3,4,20,1,22,14,3,6,7,4,9,17,2,2,7,4,15,16,,7,7
ZTRD,2 B X F,10057083,2,6,6,14,8,4,9,6,6,16,5,5,5,7,6,5,11,1,9,11,2,5,8,3,8,4,8,3,5,12,6,10,9,2,3,4,6,7,10,4,11,8,6,4,5,6,4,6,6,4,11,6,6,9,,9,7,3,8,,4
ZTRD,2 B Y C,10076001,1,4,,,25,,,,1,,,1,4,13,2,6,1,2,,,2,4,,1,1,1,,5,,8,,,,1,,2,,1,,,1,,,,,4,,1,,,,,4,1,,3,,,,,
ZTRD,2 C A A,10100340,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 C A E,10100426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
ZTRD,2 D A C,10100779,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 D A E,10102317,1,1,1,,1,,,1,4,,,1,,2,,,,,,2,,,2,,1,2,1,,2,4,,,3,1,1,,,,,,,3,,,,,1,,,,,,,,,,,,1,,
ZTRD,2 D A F,10102400,,,,,,3,,,,,,,,,,,3,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 D B E,10102401,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,
ZTRD,2 D B F,10103101,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 D C C,10104021,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 D C E,10104022,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 D D E,10104023,,,,,,,,,,,,,,,,,10,,,,,1,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 D D F,10104028,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 D X C,10105011,2,,,,1,1,,1,1,1,,,,2,1,,12,1,,,2,,,,,2,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 D X E,10105012,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 D X F,10112050,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 X X C,10113011,2,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 X X E,10113025,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 X X F,10115000,,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 Y A C,10118019,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 Y A E,10118420,,2,,,,,,,,,,15,,,,,,,,,,2,,,,,,,,,,,10,,,,,,1,,,10,,,,,,,,,,100,,15,,,,,,,
ZTRD,2 Y A F,10118421,,1,,,3,1,1,31,,5,6,2,2,2,2,,,3,1,1,3,1,,1,2,5,1,1,2,2,4,3,1,1,2,,1,3,,3,1,4,2,1,3,3,,,,3,1,,,,,1,1,2,2,1,2
ZTRD,2 Y Y C,10118422,,,,,,,1,1,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,2,,,,
ZTRD,2 Y Y E,10118423,1,,,,,,,,,,1,2,1,1,1,,1,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,1,,,,,,1,
ZTRD,3 A C C,10118563,,,10,,12,,,3,,,,,,,,4,,,10,,3,,,,2,4,,,,,,,,,5,,,,,,10,,,10,,,,10,,2,,,,,,10,,,,,
ZTRD,3 A C F,10122290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
ZTRD,3 A D B,10122355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,3 A D C,10122361,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,3 A D E,10124010,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
