Ship pt,Product Hierarchy,Part Number,Volume,Intermittency
ZTRD,2 D A C,10612674,low,medium
ZTRD,2 D A E,10612675,low,high
ZTRD,2 D A F,10612680,low,medium
ZTRD,2 D B E,10612687,low,medium
ZTRD,2 D B F,10612690,low,medium
ZTRD,2 D C B,10612691,low,medium
ZTRD,2 D C E,10612692,low,medium
ZTRD,2 D D E,10612702,low,medium
ZTRD,2 D D F,10612704,low,medium
ZTRD,2 D X E,10612705,low,medium
ZTRD,2 D X F,10612804,medium,medium
ZTRD,2 X X C,10612805,low,medium
ZTRD,2 X X E,10612806,low,medium
ZTRD,2 X X F,10612811,low,medium
ZTRD,2 Y A E,10612812,low,medium
ZTRD,2 Y A F,10612814,low,medium
ZTRD,2 Y Y C,10612816,low,medium
ZTRD,3 A D B,10612818,medium,high
ZTRD,3 A D C,10612819,medium,medium
ZTRD,3 A D E,10612823,low,medium
ZTRD,3 A D F,10612825,low,medium
ZTRD,3 A G B,10612857,low,low
ZTRD,3 A G C,10613001,low,medium
ZTRD,3 A G E,10613002,medium,medium
ZTRD,3 A G F,10613003,medium,medium
ZTRD,3 A K E,10613004,low,medium
ZTRD,3 A K F,10613005,low,medium
ZTRD,3 A L E,10613006,low,medium
ZTRD,3 A M E,10613010,low,medium
ZTRD,3 A N E,10613011,low,medium
ZTRD,3 A X B,10613012,low,medium
ZTRD,3 A X C,10613013,low,medium
ZTRD,3 A X E,10613014,low,medium
ZTRD,3 A X F,10613015,low,medium
ZTRD,3 B B E,10613019,low,medium
ZTRD,3 B C E,10613020,medium,medium
ZTRD,3 B X B,10613022,medium,medium
ZTRD,3 B X C,10613029,medium,medium
ZTRD,3 B X E,10613030,low,medium
ZTRD,3 B X F,10613031,low,medium
ZTRD,3 C B A,10613033,low,medium
ZTRD,3 C B B,10613035,medium,medium
ZTRD,3 C B C,10613036,low,medium
ZTRD,3 C C A,10613037,low,medium
ZTRD,3 C C E,10613038,medium,medium
ZTRD,3 C D C,10613046,low,medium
ZTRD,3 C X E,10613048,medium,medium
ZTRD,3 D A A,10613049,medium,medium
ZTRD,3 D A E,10613053,low,medium
ZTRD,3 X A A,10613056,low,medium
ZTRD,3 X A C,10613081,low,medium
ZTRD,3 X A E,10613086,low,medium
ZTRD,3 X B A,10613094,low,low
ZTRD,3 X B C,10613100,low,high
ZTRD,3 X B E,10613101,low,medium
ZTRD,3 X B F,10613102,low,medium
ZTRD,3 X C C,10614006,medium,high
ZTRD,3 X C E,10614007,low,high
ZTRD,3 X D A,10614022,low,medium
ZTRD,3 X D C,10614023,low,medium
ZTRD,3 X X E,10614025,low,medium
ZTRD,3 X X F,10615157,low,medium
ZTRD,3 Y Y C,10619001,medium,medium
ZTRD,3 Z Z A,10619003,low,medium
ZTRD,3 Z Z B,10619007,medium,high
ZTRD,3 Z Z C,10619011,medium,high
ZTRD,3 Z Z E,10619012,low,medium
ZTRD,3 Z Z F,10619014,medium,medium
ZTRD,4 Y Y C,10619015,low,medium
ZTRD,5 A D C,10619016,low,medium
ZTRD,5 A D E,10619017,medium,high
ZTRD,5 A E C,10619018,low,medium
ZTRD,5 A E E,10619020,low,medium
ZTRD,5 A E F,10619021,low,medium
ZTRD,5 A X C,10619025,low,medium
ZTRD,5 A X E,10619027,low,medium
ZTRD,5 S W E,10619030,low,high
ZTRD,5 X X E,10619039,low,medium
ZTRD,6 C C J,10619040,low,high
ZTRD,6 X A G,10619050,medium,medium
ZTRD,6 X B G,10619051,low,medium
ZTRD,6 X X G,10619052,low,medium
ZTRD,6 X Y G,10619053,low,medium
